message_text,label_intent
where are the famous landmarks,get_tourism_information
show attraction information with location,get_tourism_information
what are the opening hours of attractions,get_tourism_information
which tourist spots are open today,get_tourism_information
i want info about cultural sites,get_tourism_information
can you list historical places,get_tourism_information
tell me about bayawan eco parks,get_tourism_information
i need travel info for bayawan,get_tourism_information
what sightseeing places are available,get_tourism_information
show me tourism details for families,get_tourism_information
any beach attraction information,get_tourism_information
where can we go for sightseeing,get_tourism_information
give me information about mountain spots,get_tourism_information
what attractions are good for kids,get_tourism_information
tourist place contacts please,get_tourism_information
i need operating hours for tourist spots,get_tourism_information
show me local attraction descriptions,get_tourism_information
can you provide tourism office info,get_tourism_information
what destinations are near the city center,get_tourism_information
list bayawan attractions with brief details,get_tourism_information
i want details about waterfalls in bayawan,get_tourism_information
tell me where the landmarks are located,get_tourism_information
show tourism highlights in bayawan,get_tourism_information
what places are recommended for photos,get_tourism_information
tourism guide information please,get_tourism_information
do you have attraction details for weekend,get_tourism_information
what tourist areas are accessible,get_tourism_information
give me quick info about city attractions,get_tourism_information
any farm tourism spots in bayawan,get_tourism_information
what destinations are best for groups,get_tourism_information
share information about local heritage spots,get_tourism_information
which attractions are family friendly,get_tourism_information
show me points of interest in bayawan,get_tourism_information
tell me about parks and recreation sites,get_tourism_information
where can i read tourist spot descriptions,get_tourism_information
do you have tourism information for new visitors,get_tourism_information
i need attraction data for trip planning,get_tourism_information
what are the popular places to visit,get_tourism_information
give me details of inland tourist spots,get_tourism_information
show me tourism information near terminal area,get_tourism_information
what landmarks are open on weekends,get_tourism_information
any recommended attractions for couples,get_tourism_information
can you show tourism details by location,get_tourism_information
what destinations are good for day trips,get_tourism_information
share attraction information in bayawan city,get_tourism_information
tourism records for bayawan please,get_tourism_information
list scenic spots around bayawan,get_tourism_information
which attractions have contact information,get_tourism_information
what are the top tourist landmarks now,get_tourism_information
show me updated tourist spot information,get_tourism_information
calculate tour bill for 2 guests,calculate_billing
how much is the tour cost for 4 people,calculate_billing
compute total payment for river tour,calculate_billing
what is the tour amount due today,calculate_billing
please calculate package cost for 3 pax,calculate_billing
tour billing estimate for family of 5,calculate_billing
show total charge for day tour,calculate_billing
i need the final tour payment,calculate_billing
can you compute tour invoice amount,calculate_billing
what is the cost for mountain tour,calculate_billing
calculate travel package bill for two,calculate_billing
how much should we pay for city tour,calculate_billing
tour payment breakdown please,calculate_billing
estimate guided tour price for 6,calculate_billing
compute activity tour charges,calculate_billing
total bill for eco tour package,calculate_billing
what is the tour fee for 1 guest,calculate_billing
please compute billing for group tour,calculate_billing
tour cost estimate for tomorrow,calculate_billing
how much is the payable for island trip,calculate_billing
calculate total cost of our itinerary,calculate_billing
show me tour invoice summary,calculate_billing
what is the package price per guest,calculate_billing
tour amount calculation for 3 adults,calculate_billing
please estimate total tour charge,calculate_billing
compute payment for nature excursion,calculate_billing
what is the final tour total for 2 days,calculate_billing
how much do we owe for this tour,calculate_billing
tour billing for 2 adults and 1 child,calculate_billing
check tour charge for student group,calculate_billing
calculate our day trip payment,calculate_billing
need bill computation for adventure tour,calculate_billing
tour package payment estimate now,calculate_billing
how much is the sightseeing package,calculate_billing
please give total tour cost for 4,calculate_billing
compute amount due for weekend tour,calculate_billing
what is the total price of boat tour,calculate_billing
can you calculate excursion cost,calculate_billing
tour bill check for booking rr55,calculate_billing
estimate tour charges under 1500 budget,calculate_billing
calculate cost for guided heritage walk,calculate_billing
show payable amount for eco adventure,calculate_billing
what is the billing for our package,calculate_billing
compute tour total with entrance fees,calculate_billing
how much will group tour payment be,calculate_billing
please calculate per head tour cost,calculate_billing
tour invoice for 5 guests please,calculate_billing
need quick tour billing estimate,calculate_billing
what is our remaining tour balance,calculate_billing
calculate amount payable for river cruise,calculate_billing
show tour price computation for family trip,calculate_billing
how much does this trip cost in total,calculate_billing
compute total payment for weekend package,calculate_billing
please check tour billing details,calculate_billing
i want the exact tour payment amount,calculate_billing
