created_at,log_id,user_id,session_id,resolved_intent,intent_classifier_source,response_nlg_source,fallback_used,user_message,bot_response,params_json,step_event_count_in_session,step_event_click_count_in_session,step_event_book_count_in_session,recommendation_result_count_in_session,latest_recommendation_trace_count
2026-03-17T00:47:44.775998+00:00,11,8NTOQ,,get_recommendation,text_cnn_low_confidence,openai_nlg_unavailable,1,show my bookings,I couldn't find a matching tour right now. Try increasing budget or changing preferred tour type.,{},0,0,0,0,0
2026-03-17T00:50:44.545200+00:00,12,8NTOQ,,view_my_accommodation_bookings,,,0,show my bookings,Opening your accommodation-owner booking status page now.,{},0,0,0,0,0
2026-03-17T00:54:36.679278+00:00,13,8NTOQ,,owner_room_overview,,,0,show rooms,"You currently have 3 room(s) across 1 accepted accommodation(s). Total available slots: 10.
Your rooms:
- Baywalk Breeze Resort | Deluxe Queen (Room 106) | PHP 2300.00/night | Capacity: 2 pax | Available: 2 | Status: Available
- Baywalk Breeze Resort | Family Villa (Room 107) | PHP 4200.00/night | Capacity: 6 pax | Available: 6 | Status: Available
- Baywalk Breeze Resort | Garden Twin (Room 105) | PHP 1800.00/night | Capacity: 2 pax | Available: 2 | Status: Available
Tip: Open Owner Hub > Manage Rooms to edit prices, pax, and availability.",{},0,0,0,0,0
2026-03-17T00:55:00.910741+00:00,14,8NTOQ,,get_recommendation,text_cnn_low_confidence,openai_nlg_unavailable,1,show my  bookings,I couldn't find a matching tour right now. Try increasing budget or changing preferred tour type.,{},0,0,0,0,0
2026-03-17T00:55:06.093762+00:00,15,8NTOQ,,view_my_accommodation_bookings,,,0,show bookings,Opening your accommodation-owner booking status page now.,{},0,0,0,0,0
2026-03-17T01:44:48.770444+00:00,16,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Riverside Travelers Lodge - Standard Double | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 1300.00 per night | up to 2 guests
2. Top View Inn Bayawan - Single Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 700.00 per night | up to 1 guests
3. Top View Inn Bayawan - Family Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 1500.00 per night | up to 4 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-17T01:44:53.052227+00:00,17,QE8WW,,get_accommodation_recommendation,text_cnn_low_confidence,,1,recommend a hotel,"To recommend the best hotel/inn and prepare your booking, please send all missing details in one reply:
- Preferred area/location in Bayawan
- Budget per night in PHP
- Number of guests
- Stay details: check-in/check-out dates (YYYY-MM-DD) or number of nights

Example: hotel in bayawan, budget 1500, 2 guests, 2026-03-10 to 2026-03-12","{""company_type"": ""hotel""}",0,0,0,0,0
2026-03-17T01:45:00.857486+00:00,18,QE8WW,,get_recommendation,text_cnn_low_confidence,,1,in Kalumboyan,"To recommend the best hotel/inn and prepare your booking, please send all missing details in one reply:
- Budget per night in PHP
- Number of guests
- Stay details: check-in/check-out dates (YYYY-MM-DD) or number of nights

Example: hotel in bayawan, budget 1500, 2 guests, 2026-03-10 to 2026-03-12","{""company_type"": ""hotel"", ""location"": ""kalumboyan""}",0,0,0,0,0
2026-03-17T01:45:47.417941+00:00,19,UB1P2,,owner_room_overview,,,0,show rooms,"You currently have 3 room(s) across 1 accepted accommodation(s). Total available slots: 7.
Your rooms:
- Riverside Travelers Lodge | Economy Single (Room 111) | PHP 850.00/night | Capacity: 1 pax | Available: 1 | Status: Available
- Riverside Travelers Lodge | Quad Room (Room 113) | PHP 2200.00/night | Capacity: 4 pax | Available: 4 | Status: Available
- Riverside Travelers Lodge | Standard Double (Room 112) | PHP 1300.00/night | Capacity: 2 pax | Available: 2 | Status: Available
Tip: Open Owner Hub > Manage Rooms to edit prices, pax, and availability.",{},0,0,0,0,0
2026-03-17T01:47:14.037774+00:00,20,UB1P2,,view_my_accommodation_bookings,,,0,show bookings,Opening your accommodation-owner booking status page now.,{},0,0,0,0,0
2026-03-17T01:49:53.438230+00:00,21,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Riverside Travelers Lodge - Standard Double | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 1300.00 per night | up to 2 guests
2. Top View Inn Bayawan - Single Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 700.00 per night | up to 1 guests
3. Top View Inn Bayawan - Family Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 1500.00 per night | up to 4 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-17T01:50:14.202572+00:00,22,QE8WW,,get_accommodation_recommendation,text_cnn_low_confidence,,1,recommend a hotel in bayawan for 2 guests with 2000 budget,"Top hotel/inn recommendations for you (CNN + Decision Tree):
1. Riverside Travelers Lodge - Standard Double | Room ID: 112 | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 1300.00 per night | 2 pax
   Reasons: No budget limit provided; Location match: Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/2 pax)
2. Riverside Travelers Lodge - Quad Room | Room ID: 113 | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 2200.00 per night | 4 pax
   Reasons: No budget limit provided; Location match: Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/4 pax)
3. Poblacion Central Suites - Executive Twin | Room ID: 115 | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | 5 pax
   Reasons: No budget limit provided; Location match: National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/5 pax)

To continue booking, please share your budget per night in PHP, check-in/check-out dates or number of nights.","{""guests"": 2, ""location"": ""bayawan"", ""accom_name"": ""in bayawan for 2 guests with 2000 budget"", ""company_type"": ""hotel""}",0,0,0,0,0
2026-03-17T01:50:45.228110+00:00,23,QE8WW,,get_recommendation,text_cnn_low_confidence,,1,in Poblacion,"Top hotel/inn recommendations for you (CNN + Decision Tree):
1. Poblacion Central Suites - Executive Twin | Room ID: 115 | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | 5 pax
   Reasons: No budget limit provided; Location match: National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/5 pax)
2. Poblacion Central Suites - Premium Family Suite | Room ID: 116 | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | 5 pax
   Reasons: No budget limit provided; Location match: National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/5 pax)

To continue booking, please share your budget per night in PHP, check-in/check-out dates or number of nights.","{""guests"": 2, ""location"": ""poblacion"", ""accom_name"": ""in bayawan for 2 guests with 2000 budget"", ""company_type"": ""hotel""}",0,0,0,0,0
2026-03-17T01:50:57.005954+00:00,24,QE8WW,,book_accommodation,text_cnn_low_confidence,openai_nlg_unavailable,1,book room 115,"I found a room match, but I still need your dates to book it.
Matched room: Poblacion Central Suites - Executive Twin (Room 115)
Please send your check-in and check-out dates in YYYY-MM-DD format.","{""guests"": 2, ""location"": ""poblacion"", ""accom_name"": ""in bayawan for 2 guests with 2000 budget"", ""company_type"": ""hotel"", ""room_id"": ""115""}",0,0,0,0,0
2026-03-17T01:51:15.454086+00:00,25,QE8WW,,get_recommendation,text_cnn_low_confidence,,1,2026-03-22 to 2026-03-25,What is your budget per night in PHP?,"{""guests"": 2, ""location"": ""poblacion"", ""accom_name"": ""in bayawan for 2 guests with 2000 budget"", ""company_type"": ""hotel"", ""check_in"": ""2026-03-22"", ""check_out"": ""2026-03-25""}",0,0,0,0,0
2026-03-17T01:51:35.586011+00:00,26,QE8WW,,get_recommendation,text_cnn_low_confidence,openai_nlg_unavailable,1,3500,"Top hotel/inn recommendations for you (CNN + Decision Tree):
1. Poblacion Central Suites - Executive Twin | Room ID: 115 | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | 5 pax
   Reasons: Within your budget (PHP 3400.00 <= PHP 3500.00); Location match: National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/5 pax)
2. Poblacion Central Suites - Premium Family Suite | Room ID: 116 | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | 5 pax
   Reasons: Within your budget (PHP 3400.00 <= PHP 3500.00); Location match: National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental; Hotel type match; Fits your guest count (2/5 pax)","{""guests"": 2, ""location"": ""poblacion"", ""accom_name"": ""in bayawan for 2 guests with 2000 budget"", ""company_type"": ""hotel"", ""check_in"": ""2026-03-22"", ""check_out"": ""2026-03-25"", ""budget"": 3500, ""predicted_accommodation_type"": ""inn"", ""predicted_accommodation_confidence"": 0.25651291012763977}",0,0,0,0,0
2026-03-17T01:51:42.240449+00:00,27,QE8WW,,book_accommodation,text_cnn_low_confidence,openai_nlg_unavailable,1,book room 115,"Booking Draft (Not yet saved)
Booking ID: Pending confirmation
Hotel: Poblacion Central Suites
Room: Executive Twin (Room 115)
Check-in: 2026-03-22
Check-out: 2026-03-25
Nights: 3
Guests: 2
Rate per night: PHP 3400.00
Estimated Total: PHP 10200.00
Booking Status: Awaiting confirmation
Payment Status: Unpaid
Estimated total: PHP 10200.00 for 3 nights.
Confirm booking to generate LGU billing reference/link? (Yes/No)","{""guests"": 2, ""location"": ""poblacion"", ""accom_name"": ""in bayawan for 2 guests with 2000 budget"", ""company_type"": ""hotel"", ""check_in"": ""2026-03-22"", ""check_out"": ""2026-03-25"", ""budget"": 3500, ""predicted_accommodation_type"": ""inn"", ""predicted_accommodation_confidence"": 0.25651291012763977, ""room_id"": ""115""}",0,0,0,0,0
2026-03-17T01:51:48.000387+00:00,28,QE8WW,,book_accommodation_confirmation,,,0,Yes,"Booking Receipt / Summary (Accommodation)
Booking ID: #43
Hotel: Poblacion Central Suites
Room: Executive Twin (Room 115)
Check-in: 2026-03-22
Check-out: 2026-03-25
Nights: 3
Guests: 2
Rate per night: PHP 3400.00
Estimated Total: PHP 10200.00
Booking Status: Pending
Payment Status: Unpaid
Billing / Payment Link: use the button/link provided in the chat.","{""room_id"": 115, ""check_in"": ""2026-03-22"", ""check_out"": ""2026-03-25"", ""guests"": 2}",0,0,0,0,0
2026-03-17T02:30:44.542010+00:00,29,OUK3F,,view_my_accommodation_bookings,,,0,show bookings,Opening your accommodation-owner booking status page now.,{},0,0,0,0,0
2026-03-17T02:47:44.300548+00:00,30,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Poblacion Central Suites - Premium Family Suite | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
2. Top View Inn Bayawan - Matrimonial Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 950.00 per night | up to 2 guests
3. Poblacion Central Suites - Executive Twin | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-17T02:50:32.449111+00:00,31,OUK3F,,view_my_accommodation_bookings,,,0,show bookings,Opening your accommodation-owner booking status page now.,{},0,0,0,0,0
2026-03-18T03:06:39.323691+00:00,32,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Riverside Travelers Lodge - Standard Double | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 1300.00 per night | up to 2 guests
2. Poblacion Central Suites - Premium Family Suite | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
3. Riverside Travelers Lodge - Quad Room | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 2200.00 per night | up to 4 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-23T15:14:36.472338+00:00,33,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Top View Inn Bayawan - Family Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 1500.00 per night | up to 4 guests
2. Riverside Travelers Lodge - Standard Double | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 1300.00 per night | up to 2 guests
3. Poblacion Central Suites - Business Single | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 1100.00 per night | up to 1 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-23T15:14:45.066665+00:00,34,QE8WW,,get_recommendation,text_cnn_low_confidence,openai_nlg_error,1,hi,I couldn't find a matching tour right now. Try increasing budget or changing preferred tour type.,{},0,0,0,0,0
2026-03-23T15:15:52.532200+00:00,35,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Riverside Travelers Lodge - Economy Single | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 850.00 per night | up to 1 guests
2. Top View Inn Bayawan - Single Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 700.00 per night | up to 1 guests
3. Poblacion Central Suites - Executive Twin | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-23T15:17:25.449240+00:00,36,QE8WW,,get_accommodation_recommendation,text_cnn_low_confidence,,1,"Pangita ug inn sa Bayawan para sa 3 ka bisita, budget 1200.","Top hotel/inn recommendations for you (CNN + Decision Tree):
1. Top View Inn Bayawan - Single Room | Room ID: 102 | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 700.00 per night | 1 pax
   Reasons: Within your budget (PHP 700.00 <= PHP 1200.00); Location match: H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental; Inn type match; Fits your guest count (1/1 pax)
2. Top View Inn Bayawan - Matrimonial Room | Room ID: 103 | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 950.00 per night | 2 pax
   Reasons: Within your budget (PHP 950.00 <= PHP 1200.00); Location match: H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental; Inn type match; Fits your guest count (1/2 pax)

To continue booking, please share your number of guests, check-in/check-out dates or number of nights.","{""budget"": 1200, ""location"": ""bayawan"", ""accom_name"": ""in bayawan for 3 visitors"", ""company_type"": ""inn""}",0,0,0,0,0
2026-03-23T15:26:37.275815+00:00,37,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Top View Inn Bayawan - Single Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 700.00 per night | up to 1 guests
2. Poblacion Central Suites - Executive Twin | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
3. Riverside Travelers Lodge - Economy Single | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 850.00 per night | up to 1 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-23T15:44:12.776354+00:00,38,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Riverside Travelers Lodge - Economy Single | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 850.00 per night | up to 1 guests
2. Riverside Travelers Lodge - Quad Room | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 2200.00 per night | up to 4 guests
3. Top View Inn Bayawan - Matrimonial Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 950.00 per night | up to 2 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-23T17:51:53.566758+00:00,39,,,role_help,,,0,help,"Admin assistant mode is active.
I can answer tourism information and help with quick navigation.
Use the Admin Dashboard for approvals, encoding, and reports.",{},0,0,0,0,0
2026-03-23T18:16:15.871209+00:00,40,UB1P2,,view_my_accommodation_bookings,,,0,show my bookings,Opening your accommodation-owner booking status page now.,{},0,0,0,0,0
2026-03-23T18:37:24.731736+00:00,41,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Riverside Travelers Lodge - Quad Room | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 2200.00 per night | up to 4 guests
2. Poblacion Central Suites - Premium Family Suite | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
3. Poblacion Central Suites - Executive Twin | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
2026-03-23T18:37:58.049619+00:00,42,QE8WW,,get_accommodation_recommendation,text_cnn_low_confidence,,1,kinahanglan kog hotel sa villareal,"To recommend the best hotel/inn and prepare your booking, please send all missing details in one reply:
- Preferred area/location in Bayawan
- Budget per night in PHP
- Number of guests
- Stay details: check-in/check-out dates (YYYY-MM-DD) or number of nights

Example: hotel in bayawan, budget 1500, 2 guests, 2026-03-10 to 2026-03-12","{""accom_name"": ""in villareal"", ""company_type"": ""hotel""}",0,0,0,0,0
2026-03-23T18:38:20.965739+00:00,43,QE8WW,,get_recommendation,text_cnn_low_confidence,,1,sa villareal,"To recommend the best hotel/inn and prepare your booking, please send all missing details in one reply:
- Budget per night in PHP
- Number of guests
- Stay details: check-in/check-out dates (YYYY-MM-DD) or number of nights

Example: hotel in bayawan, budget 1500, 2 guests, 2026-03-10 to 2026-03-12","{""accom_name"": ""in villareal"", ""company_type"": ""hotel"", ""location"": ""villarreal""}",0,0,0,0,0
2026-03-23T18:49:33.233302+00:00,44,QE8WW,,get_accommodation_recommendation_init,,,0,show default hotel suggestions,"Here are some suggested stays:
1. Top View Inn Bayawan - Family Room | H. Bollos St., Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 1500.00 per night | up to 4 guests
2. Poblacion Central Suites - Executive Twin | National Highway, Brgy. Poblacion, Bayawan City, Negros Oriental | PHP 3400.00 per night | up to 5 guests
3. Riverside Travelers Lodge - Standard Double | Riverside Rd., Brgy. Villareal, Bayawan City, Negros Oriental | PHP 1300.00 per night | up to 2 guests
To book, send: book room <room_id> for <guests> guests from <YYYY-MM-DD> to <YYYY-MM-DD>.
Example: book room 12 for 2 guests from 2026-03-10 to 2026-03-12.",{},0,0,0,0,0
